BCCefflatcnt_composition_average,NValance_composition_average,IonicRadii_composition_average,Number_composition_average,AtomicWeight_composition_average,AtomicNumber_composition_average,HeatCapacityMolar_composition_average,BCCvolume_pa_composition_average,n_ws^third_composition_average,AtomicWeight_max_value,Number_max_value,AtomicNumber_max_value,AtomicVolume_composition_average,AtomicWeight_arithmetic_average,GSvolume_pa_composition_average,ICSDVolume_composition_average,BCCvolume_pa_arithmetic_average,CovalentRadius_difference,NdValence_arithmetic_average,BCCfermi_composition_average,NdValence_max_value,BCCfermi_arithmetic_average,AtomicVolume_difference,BCCvolume_pa_max_value,NUnfilled_min_value
6.6106760016666675,13.666666666666664,0.6766666666666666,49.66666666666666,118.16053333333332,49.66666666666666,24.81,18.263333333333332,1.5733333333333333,178.49,72.0,72.0,19.18685044697297,118.16053333333332,19.295,19.3,18.263333333333332,56.0,6.333333333333334,6.655865440000001,10.0,6.655865440000001,8.700836785140703,21.87,3.0
5.9533780795,11.0,0.6425000000000001,29.0,63.971597499999994,29.0,24.558000000000003,13.465,1.5475,72.64,32.0,32.0,14.964595370846874,65.651065,14.36375,14.875,14.473333333333333,6.0,9.0,5.1439863300000015,10.0,4.811843526666666,11.665115699245401,18.82,0.0
5.8100230895000005,14.166666666666668,0.815,47.5,113.81891666666668,47.5,25.679,12.631666666666668,1.7633333333333332,183.84,74.0,74.0,3110.3262897956993,85.51336666666667,13.926458333333333,15.26666666666667,11.12,91.0,4.0,6.434165306666666,8.0,6.250082103333334,18581.557682177096,16.05,2.0
5.446833446285715,2.7142857142857144,0.4128571428571429,7.0,14.852042857142855,7.0,13.731714285714286,15.537142857142856,1.592857142857143,39.0983,19.0,19.0,17.09063832496948,24.95465,16.59166666667143,17.4,39.105,119.0,0.0,8.786223235714285,0.0,5.102763925,68.55009741779315,72.1,1.0
7.687211549666668,24.333333333333336,1.12,78.33333333333333,196.4556,78.33333333333333,25.42,28.39666666666667,1.18,207.2,82.0,82.0,30.068959311182493,191.0834,28.361666666666665,30.03333333333333,28.635,41.0,5.5,6.5247217000000015,10.0,5.6353308800000015,0.8173911046703992,29.35,4.0
7.189177985500001,18.5,0.94,72.5,179.7332845,72.5,26.789,23.97,1.395,196.966569,79.0,79.0,24.25203173100815,179.7332845,23.97,24.25,23.97,56.0,5.0,4.681234725,10.0,4.681234725,14.6099362290553,31.21,1.0
6.51573508175,21.5,0.65,71.0,175.9905,71.0,26.1425,17.61,1.645,195.084,78.0,78.0,18.2620439455668,156.89700000000002,19.58625,18.075,20.15,3.0,9.5,8.0527056475,10.0,8.385319525,11.6063217553304,25.23,2.0
7.2026750989999995,6.5,0.8075,42.5,98.0955,42.5,25.7675,23.37,1.3675,118.71,50.0,50.0,24.191153767409773,104.96700000000001,25.7175,24.15,23.99,36.0,6.0,5.4336748075,10.0,6.639298965,3.7008419928731016,25.23,4.0
7.8218977039999995,29.0,1.03,83.0,208.9804,83.0,25.52,29.91,1.16,208.9804,83.0,83.0,35.483459082206394,208.9804,32.95,35.3,29.91,0.0,10.0,8.46315729,10.0,8.46315729,0.0,29.91,3.0
6.301403739714286,9.714285714285717,0.5957142857142858,42.0,96.84168028571429,42.0,25.78057142857143,15.848571428571427,1.5957142857142856,114.818,49.0,49.0,18.255530188549773,84.07058733333334,16.982891156457146,16.92857142857143,17.686666666666667,35.0,6.666666666666668,6.34301267142857,10.0,7.884377326666668,13.5157355480775,24.43,0.0
5.8615769274,8.8,1.16,24.4,55.52684,24.4,28.3228,14.170000000000002,0.468,114.818,49.0,49.0,11165.751363157795,65.4087,15.167000000000002,20.82,15.88,76.0,5.0,5.203427152,10.0,5.735900565,18566.11450832901,24.43,2.0
6.6923240038,8.0,0.8,30.0,70.2523472,30.0,22.2794,19.89,1.34,204.3833,81.0,81.0,22.498779806394943,87.11663733333332,19.851,21.76,18.35,94.0,3.666666666666667,5.928090532000001,10.0,6.912283526666666,19.815786845616483,26.25,4.0
6.884454075333331,5.333333333333334,0.7333333333333334,32.66666666666667,74.10246286666667,32.66666666666667,25.57,21.306666666666672,1.4233333333333331,106.42,46.0,46.0,21.4353412228644,74.10246286666667,21.085,21.4,21.306666666666672,69.0,3.666666666666667,5.394384013333332,10.0,5.394384013333332,18.314826613955898,32.53,9.0
7.46945778325,13.0,0.8550000000000001,53.5,127.34608,53.5,26.8425,26.1525,1.1825,164.93032,67.0,67.0,27.34708859798275,139.87416000000002,25.878333333325,27.35,27.875,50.0,5.0,7.08247924,10.0,5.76669085,5.057721750376199,31.32,3.0
6.476572363200001,7.6,0.5780000000000001,36.8,84.8964,36.8,23.62,17.662,1.548,162.5,66.0,66.0,19.80815498005128,97.83033333333334,19.880000000000006,18.92,19.92,81.0,2.6666666666666665,7.584838277999999,8.0,6.88031745,17.831490034788303,31.21,3.0
6.9940044363333325,3.0,0.7000000000000001,21.666666666666664,47.62297573333333,21.666666666666664,24.97666666666667,22.12333333333333,1.33,88.90585,39.0,39.0,22.06735397251313,57.9436943,21.775,22.03333333333333,24.725,69.0,0.5,6.253412093333332,1.0,5.49808143,16.418788365009707,32.53,5.0
